"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"DAMARTEX";"FR0000185423";"ALDAR";"Euronext Growth Paris";"EUR";"42.00";"42.00";"40.80";"41.50";"05/01/2018 15:42";"CET";"2019";"83845.20"
"DANONE";"FR0000120644";"BN";"Euronext Paris";"EUR";"70.41";"71.78";"70.35";"71.75";"05/01/2018 18:13";"CET";"1579299";"114847168.588"
"DASSAULT AVIATION";"FR0000121725";"AM";"Euronext Paris";"EUR";"1315.00";"1340.00";"1312.00";"1340.00";"05/01/2018 17:35";"CET";"5310";"7080709.00"
"DASSAULT SYS NV18";"FR0013306206";"DSYNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DASSAULT SYSTEMES";"FR0000130650";"DSY";"Euronext Paris";"EUR";"89.82";"90.54";"89.62";"90.54";"05/01/2018 17:35";"CET";"318662";"28748497.10"
"DATBIM";"FR0004177939";"MLDTB";"Euronext Access Paris";"EUR";"2.16";"2.16";"2.16";"2.16";"08/12/2017 11:30";"CET";"5";"10.80"
"DBT";"FR0013066750";"ALDBT";"Euronext Growth Paris";"EUR";"3.05";"3.21";"2.99";"3.145";"05/01/2018 17:35";"CET";"123433";"384375.815"
"DBV TECHNOLOGIES";"FR0010417345";"DBV";"Euronext Paris";"EUR";"43.50";"44.28";"43.30";"43.76";"05/01/2018 17:35";"CET";"66598";"2914630.74"
"DEBFLEX";"FR0010776658";"MLDEX";"Euronext Access Paris";"EUR";"1.43";"1.43";"1.43";"1.43";"05/01/2018 11:30";"CET";"3068";"4387.24"
"DECEUNINCK";"BE0003789063";"DECB";"Euronext Brussels";"EUR";"3.09";"3.14";"3.09";"3.13";"05/01/2018 17:35";"CET";"31312";"97649.135"
"DEINOVE";"FR0010879056";"ALDEI";"Euronext Growth Paris";"EUR";"1.80";"1.84";"1.776";"1.802";"05/01/2018 16:46";"CET";"62234";"112038.812"
"DELFINGEN";"FR0000054132";"ALDEL";"Euronext Growth Paris";"EUR";"41.80";"41.80";"41.30";"41.70";"05/01/2018 17:24";"CET";"453";"18811.50"
"DELTA DRONE";"FR0011522168";"ALDR";"Euronext Growth Paris";"EUR";"0.422";"0.45";"0.4195";"0.4255";"05/01/2018 17:35";"CET";"1200681";"517164.148"
"DELTA DRONE BSA";"FR0013239977";"ALDBS";"Euronext Growth Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DELTA PLUS GROUP";"FR0013283108";"DLTA";"Euronext Paris";"EUR";"46.00";"46.00";"45.60";"45.60";"05/01/2018 17:35";"CET";"2051";"93747.00"
"DERICHEBOURG";"FR0000053381";"DBG";"Euronext Paris";"EUR";"9.035";"9.06";"8.90";"8.93";"05/01/2018 17:37";"CET";"279440";"2500591.885"
"DESIGN YOUR HOME";"SE0007045380";"MLDYH";"Euronext Access Paris";"EUR";"1.93";"1.93";"1.93";"1.93";"18/07/2016 15:00";"CET";"15460";"29837.80"
"DEUTSCHE TELEKOM";"DE0005557508";"DTEL";"Traded not listed Brussels";"EUR";"15.155";"15.155";"14.725";"14.725";"05/01/2018 16:54";"CET";"303";"4462.105"
"DEVERNOIS";"FR0000060840";"ALDEV";"Euronext Growth Paris";"EUR";"135.00";"135.00";"135.00";"135.00";"21/12/2017 11:30";"CET";"12";"1620.00"
"DEVOTEAM";"FR0000073793";"DVT";"Euronext Paris";"EUR";"74.80";"77.20";"74.80";"76.90";"05/01/2018 17:35";"CET";"2683";"202931.60"
"DEXIA";"BE0974290224";"DEXB";"Euronext Brussels";"EUR";"9.82";"9.92";"9.82";"9.90";"05/01/2018 17:35";"CET";"1106";"10933.06"
"DIAGEO";"GB0002374006";"DGE";"Euronext Paris";"EUR";"30.21";"30.26";"30.21";"30.26";"05/01/2018 15:19";"CET";"77";"2329.335"
"DIAGNOSTIC MEDICAL";"FR0012202497";"DGM";"Euronext Paris";"EUR";"1.49";"1.53";"1.48";"1.525";"05/01/2018 16:31";"CET";"55611";"83692.995"
"DIAXONHIT";"FR0013240934";"ALEHT";"Euronext Growth Paris";"EUR";"4.74";"4.78";"4.72";"4.72";"05/01/2018 17:29";"CET";"9010";"42715.55"
"DIEGEM KENNEDYCERT";"BE0003698124";"DIEG";"Euronext Brussels";"EUR";"116.00";"118.00";"116.00";"118.00";"05/01/2018 16:30";"CET";"45";"5222.00"
"DIETSWELL";"FR0010377127";"ALDIE";"Euronext Growth Paris";"EUR";"2.20";"2.20";"2.20";"2.20";"05/01/2018 16:30";"CET";"500";"1100.00"
"DIGIGRAM";"FR0000035784";"DIG";"Euronext Paris";"EUR";"0.65";"0.65";"0.65";"0.65";"05/01/2018 16:30";"CET";"3600";"2340.00"
"DIGITECH";"FR0000079824";"MLDIG";"Euronext Access Paris";"EUR";"1.20";"1.20";"1.20";"1.20";"15/11/2017 11:30";"CET";"106";"127.20"
"DIRECT ENERGIE";"FR0004191674";"DIREN";"Euronext Paris";"EUR";"40.16";"40.18";"39.72";"40.00";"05/01/2018 17:35";"CET";"27809";"1111308.78"
"DISTRI-LAND CERT";"BE0003605160";"DISL";"Euronext Brussels";"EUR";"201.20";"201.20";"201.20";"201.20";"20/12/2017 16:30";"CET";"127";"25552.40"
"DNXCORP";"FR0010436584";"DNX";"Euronext Paris";"EUR";"6.32";"6.40";"6.30";"6.38";"05/01/2018 17:19";"CET";"726";"4603.86"
"DOC DATA";"NL0000345627";"DOCD";"Euronext Amsterdam";"EUR";"0.588";"0.75";"0.58";"0.70";"05/01/2018 17:35";"CET";"575439";"398176.754"
"DOCK.PETR.AMBES AM";"FR0000065260";"DPAM";"Euronext Paris";"EUR";"555.00";"555.00";"555.00";"555.00";"05/01/2018 11:30";"CET";"8";"4440.00"
"DOLPHIN INTEGRAT.";"FR0004022754";"ALDOL";"Euronext Growth Paris";"EUR";"23.90";"23.90";"23.90";"23.90";"05/01/2018 16:36";"CET";"13301";"317893.90"
"DOM SECURITY";"FR0000052839";"DOMS";"Euronext Paris";"EUR";"60.40";"60.60";"59.60";"60.60";"05/01/2018 13:38";"CET";"111";"6658.40"
"DPA GROUP";"NL0009197771";"DPA";"Euronext Amsterdam";"EUR";"1.715";"1.74";"1.715";"1.73";"05/01/2018 16:41";"CET";"9815";"16935.33"
"DRDGOLD";"ZAE000058723";"MLDUR";"Euronext Access Paris";"EUR";"0.32";"0.32";"0.32";"0.32";"13/06/2017 15:00";"CET";"14856";"4753.92"
"DRONE VOLT";"FR0013088606";"ALDRV";"Euronext Growth Paris";"EUR";"0.75";"0.754";"0.722";"0.728";"05/01/2018 17:29";"CET";"50371";"36951.304"
"DRONE VOLT BS";"FR0012860542";"DRVBS";"Euronext Growth Paris";"EUR";"0.30";"0.30";"0.30";"0.30";"31/03/2017 16:00";"CET";"1500";"450.00"
"DSM KON";"NL0000009827";"DSM";"Euronext Amsterdam";"EUR";"81.68";"82.48";"81.66";"82.30";"05/01/2018 17:35";"CET";"667140";"54810602.10"
"DWC 3.0";"IT0005154635";"MLDWC";"Euronext Access Paris";"EUR";"2.14";"2.14";"2.14";"2.14";"04/01/2018 11:52";"CET";"500";"1070.00"
"DYNAFOND";"FR0000052920";"MLDYN";"Euronext Access Paris";"EUR";"3.10";"3.10";"3.10";"3.10";"22/12/2017 11:31";"CET";"792";"2455.20"
"DYNEX ENERGY SA";"LU0881232630";"MLDYX";"Euronext Access Paris";"EUR";"3.65";"3.65";"3.65";"3.65";"27/06/2017 11:30";"CET";"200";"730.00"
"E.ON SE";"DE000ENAG999";"EON";"Traded not listed Brussels";"EUR";"9.306";"9.306";"9.306";"9.306";"05/01/2018 15:14";"CET";"320";"2977.92"
"EASSON TELECOM";"HK0000038783";"MLEAS";"Euronext Access Paris";"EUR";"0.17";"0.17";"0.17";"0.17";"05/01/2018 16:30";"CET";"1005";"170.85"
"EASYVISTA";"FR0010246322";"ALEZV";"Euronext Growth Paris";"EUR";"30.60";"31.20";"30.60";"30.80";"05/01/2018 13:11";"CET";"647";"19946.20"
"EAUX DE DOUAI";"FR0005142999";"MLEAU";"Euronext Access Paris";"EUR";"97.00";"97.00";"97.00";"97.00";"18/12/2017 17:01";"CET";"8";"776.00"
"EAUX DE ROYAN";"FR0007200100";"MLEDR";"Euronext Access Paris";"EUR";"130.00";"130.00";"130.00";"130.00";"03/01/2018 16:38";"CET";"29";"3770.00"
"EAVS";"FR0010536185";"MLEAV";"Euronext Access Paris";"EUR";"13.95";"13.95";"13.95";"13.95";"23/07/2010 15:00";"CET";"10";"139.50"
"ECA";"FR0010099515";"ECASA";"Euronext Paris";"EUR";"20.20";"20.90";"20.20";"20.70";"05/01/2018 17:11";"CET";"5916";"121969.00"
"ECKERT-ZIEGLER BG";"BE0974300320";"EZBG";"Euronext Brussels";"EUR";"9.35";"9.45";"9.05";"9.40";"05/01/2018 16:13";"CET";"726";"6784.40"
"ECOLUTIONS";"DE000A0XYM45";"MLECO";"Euronext Access Paris";"EUR";"1.25";"1.25";"1.25";"1.25";"21/12/2016 15:00";"CET";"100";"125.00"
"ECONOCOM GROUP";"BE0974313455";"ECONB";"Euronext Brussels";"EUR";"6.095";"6.115";"6.05";"6.105";"05/01/2018 17:35";"CET";"159407";"970101.865"
"ECOSLOPS";"FR0011490648";"ALESA";"Euronext Growth Paris";"EUR";"14.30";"14.50";"14.30";"14.40";"05/01/2018 15:20";"CET";"1999";"28677.40"
"EDENRED";"FR0010908533";"EDEN";"Euronext Paris";"EUR";"24.19";"24.58";"24.19";"24.49";"05/01/2018 17:35";"CET";"548250";"13424129.33"
"EDENRED NV18";"FR0013306214";"EDENV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"EDF";"FR0010242511";"EDF";"Euronext Paris";"EUR";"10.82";"10.875";"10.63";"10.78";"05/01/2018 17:36";"CET";"2486541";"26747804.60"
"EDITIONS DU SIGNE";"FR0000052755";"MLEDS";"Euronext Access Paris";"EUR";"1.53";"1.68";"1.53";"1.68";"05/01/2018 16:30";"CET";"2526";"4239.78"
"EDP";"PTEDP0AM0009";"EDP";"Euronext Lisbon";"EUR";"2.978";"2.994";"2.969";"2.994";"05/01/2018 22:35";"BST";"4378165";"13075514.341"
"EDP RENOVAVEIS";"ES0127797019";"EDPR";"Euronext Lisbon";"EUR";"6.78";"6.845";"6.77";"6.79";"05/01/2018 22:35";"BST";"209544";"1424570.74"
"EDUNIVERSAL";"FR0010439265";"MLEDU";"Euronext Access Paris";"EUR";"8.42";"8.42";"8.42";"8.42";"18/04/2012 15:00";"CET";"850";"7157.00"
"EES";"FR0010945733";"MLEES";"Euronext Access Paris";"EUR";"0.17";"0.17";"0.17";"0.17";"27/12/2017 11:30";"CET";"10";"1.70"
"EGIDE";"FR0000072373";"GID";"Euronext Paris";"EUR";"2.30";"2.38";"2.30";"2.37";"05/01/2018 17:29";"CET";"8808";"20640.59"
"EIFFAGE";"FR0000130452";"FGR";"Euronext Paris";"EUR";"93.26";"93.86";"93.12";"93.76";"05/01/2018 17:35";"CET";"252320";"23631432.42"
"EKINOPS";"FR0011466069";"EKI";"Euronext Paris";"EUR";"4.82";"4.88";"4.795";"4.86";"05/01/2018 17:35";"CET";"40295";"194538.88"
"ELEC.STRASBOURG";"FR0000031023";"ELEC";"Euronext Paris";"EUR";"125.50";"126.00";"125.00";"125.50";"05/01/2018 16:33";"CET";"69";"8662.50"
"ELECTRO POWER";"FR0012650166";"EPS";"Euronext Paris";"EUR";"13.10";"13.60";"12.85";"13.30";"05/01/2018 17:35";"CET";"27908";"369725.15"
"ELIA";"BE0003822393";"ELI";"Euronext Brussels";"EUR";"48.30";"48.75";"48.15";"48.75";"05/01/2018 17:35";"CET";"12076";"585928.85"
"ELIOR GROUP";"FR0011950732";"ELIOR";"Euronext Paris";"EUR";"17.42";"17.59";"17.34";"17.54";"05/01/2018 17:39";"CET";"353043";"6171920.27"
"ELIS";"FR0012435121";"ELIS";"Euronext Paris";"EUR";"23.40";"23.60";"23.26";"23.60";"05/01/2018 17:35";"CET";"297158";"6980273.12"
"EMAKINA GROUP";"BE0003843605";"ALEMK";"Euronext Growth Brussels";"EUR";"14.45";"14.45";"14.10";"14.10";"29/11/2017 16:30";"CET";"76";"1097.85"
"EMD MUSIC";"BE0003849669";"EMD";"Euronext Access Brussels";"EUR";"1.05";"1.05";"1.05";"1.05";"28/12/2017 16:30";"CET";"993";"1042.65"
"EMOVA BS";"FR0013245123";"ALEBS";"Euronext Growth Paris";"EUR";"0.03";"0.03";"0.03";"0.03";"05/01/2018 16:30";"CET";"55000";"1650.00"
"EMOVA GROUP";"FR0010554113";"ALEMV";"Euronext Growth Paris";"EUR";"0.324";"0.358";"0.323";"0.349";"05/01/2018 17:35";"CET";"146143";"50274.221"
"ENCRES DUBUIT";"FR0004030708";"ALDUB";"Euronext Growth Paris";"EUR";"5.48";"5.68";"5.46";"5.62";"05/01/2018 17:13";"CET";"8002";"44264.30"
"ENERTIME";"FR0011915339";"ALENE";"Euronext Growth Paris";"EUR";"1.99";"2.18";"1.99";"2.09";"05/01/2018 17:29";"CET";"74090";"155391.61"
"ENGIE";"FR0010208488";"ENGI";"Euronext Paris, Brussels";"EUR";"14.515";"14.625";"14.50";"14.595";"05/01/2018 17:36";"CET";"5086093";"74135578.725"
"ENI";"IT0003132476";"ENI";"Traded not listed Brussels";"EUR";"14.37";"14.37";"14.37";"14.37";"04/01/2018 17:07";"CET";"200";"2874.00"
"ENTREPARTICULIERS";"FR0010424697";"ALENT";"Euronext Growth Paris";"EUR";"0.695";"0.695";"0.695";"0.695";"05/01/2018 09:00";"CET";"1";"0.695"
"ENTREPRENDRE";"FR0000045122";"ALENR";"Euronext Growth Paris";"EUR";"31.80";"31.80";"31.80";"31.80";"02/01/2018 11:30";"CET";"40";"1272.00"
"ENVIPCO";"NL0009901610";"ENVI";"Euronext Brussels";"EUR";"8.05";"8.20";"8.05";"8.20";"05/01/2018 14:49";"CET";"771";"6247.05"
"ENVIRONNEMENT SA";"FR0010278762";"ALTEV";"Euronext Growth Paris";"EUR";"70.60";"71.00";"69.80";"70.20";"05/01/2018 17:35";"CET";"604";"42586.40"
"EO2";"FR0010465534";"ALEO2";"Euronext Growth Paris";"EUR";"9.00";"9.78";"8.96";"9.50";"05/01/2018 17:36";"CET";"105906";"989945.14"
"EON MOTORS GROUP";"FR0011612837";"MLEMG";"Euronext Access Paris";"EUR";"2.70";"2.70";"2.70";"2.70";"20/12/2017 11:30";"CET";"103";"278.10"
"EOS IMAGING";"FR0011191766";"EOSI";"Euronext Paris";"EUR";"5.07";"5.12";"4.975";"5.04";"05/01/2018 17:35";"CET";"33323";"168336.94"
"ERAMET";"FR0000131757";"ERA";"Euronext Paris";"EUR";"104.00";"104.20";"100.30";"101.60";"05/01/2018 17:35";"CET";"105570";"10744993.70"
"ERYTECH PHARMA";"FR0011471135";"ERYP";"Euronext Paris";"EUR";"17.80";"18.21";"17.64";"18.00";"05/01/2018 17:35";"CET";"69618";"1245704.93"
"ESI GROUP";"FR0004110310";"ESI";"Euronext Paris";"EUR";"44.65";"44.80";"44.30";"44.50";"05/01/2018 17:36";"CET";"7549";"336419.40"
"ESKER";"FR0000035818";"ALESK";"Euronext Growth Paris";"EUR";"52.00";"52.20";"51.40";"52.20";"05/01/2018 17:35";"CET";"1390";"72091.40"
"ESPERITE";"NL0009272137";"ESP";"Euronext Amsterdam, Paris";"EUR";"0.48";"0.528";"0.477";"0.501";"05/01/2018 17:36";"CET";"1579133";"797306.4015"
"ESSILOR INTER NV18";"FR0013306222";"EINV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ESSILOR INTL.";"FR0000121667";"EI";"Euronext Paris";"EUR";"112.70";"114.35";"112.70";"114.35";"05/01/2018 17:35";"CET";"493427";"56250292.30"
"ESSO";"FR0000120669";"ES";"Euronext Paris";"EUR";"58.20";"58.90";"58.10";"58.10";"05/01/2018 17:35";"CET";"1632";"95326.20"
"EST REPUBLICAIN";"FR0005310463";"MLEST";"Euronext Access Paris";"EUR";"15.00";"15.00";"15.00";"15.00";"31/08/2017 11:30";"CET";"10";"150.00"
"ESTORIL SOL N";"PTESO0AM0000";"ESON";"Euronext Lisbon";"EUR";"11.80";"11.80";"11.80";"11.80";"04/01/2018 18:09";"BST";"1000";"11800.00"
"EULER HERMES GROUP";"FR0004254035";"ELE";"Euronext Paris";"EUR";"122.00";"122.00";"121.80";"122.00";"05/01/2018 17:35";"CET";"5436";"663187.40"
"EURASIA FONC INV";"FR0000061475";"EFI";"Euronext Paris";"EUR";"0.17";"0.17";"0.17";"0.17";"05/01/2018 16:30";"CET";"800";"136.00"
"EURASIA GROUPE";"FR0010844001";"ALEUA";"Euronext Growth Paris";"EUR";"8.31";"8.31";"8.31";"8.31";"30/06/2017 16:30";"CET";"100";"831.00"
"EURAZEO";"FR0000121121";"RF";"Euronext Paris";"EUR";"80.00";"81.25";"79.90";"81.25";"05/01/2018 17:35";"CET";"139510";"11306372.40"
"EURO RESSOURCES";"FR0000054678";"EUR";"Euronext Paris";"EUR";"3.50";"3.50";"3.43";"3.44";"05/01/2018 17:14";"CET";"3643";"12640.20"
"EUROCASTLE INVEST.";"GB00B94QM994";"ECT";"Euronext Amsterdam";"EUR";"8.12";"8.24";"8.04";"8.24";"05/01/2018 17:35";"CET";"27254";"222164.56"
"EUROCOMMERCIAL";"NL0000288876";"ECMPA";"Euronext Amsterdam";"EUR";"37.40";"37.40";"37.10";"37.34";"05/01/2018 17:37";"CET";"46118";"1719388.84"
"EUROFINS CEREP";"FR0013256518";"ALECR";"Euronext Growth Paris";"EUR";"5200.00";"5200.00";"5200.00";"5200.00";"20/12/2017 16:30";"CET";"1";"5200.00"
"EUROFINS NV18";"FR0013308749";"ERFNV";"Euronext Paris";"EUR";"509.00";"510.00";"509.00";"510.00";"05/01/2018 16:30";"CET";"230";"117170.00"
"EUROFINS SCIENT.";"FR0000038259";"ERF";"Euronext Paris";"EUR";"517.00";"518.00";"511.00";"516.50";"05/01/2018 17:35";"CET";"20040";"10334266.50"
"EUROGERM";"FR0010452474";"ALGEM";"Euronext Growth Paris";"EUR";"30.80";"30.80";"30.20";"30.40";"05/01/2018 16:19";"CET";"841";"25644.60"
"EUROLAND CORPORATE";"FR0010157115";"MLERO";"Euronext Access Paris";"EUR";"0.975";"0.975";"0.975";"0.975";"05/01/2018 11:30";"CET";"500";"487.50"
"EUROMEDIS GROUPE";"FR0000075343";"EMG";"Euronext Paris";"EUR";"7.25";"8.10";"7.25";"8.10";"05/01/2018 17:06";"CET";"944";"7390.95"
"EURONAV";"BE0003816338";"EURN";"Euronext Brussels";"EUR";"7.955";"8.045";"7.84";"7.855";"05/01/2018 17:38";"CET";"830615";"6563014.965"
"EURONEXT";"NL0006294274";"ENX";"Euronext Paris, Amsterdam, Brussels";"EUR";"52.65";"53.45";"52.60";"53.40";"05/01/2018 17:35";"CET";"74376";"3957619.95"
"EURONEXT";"NL0006294274";"ENXP";"Euronext Lisbon";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"EUROPACORP";"FR0010490920";"ECP";"Euronext Paris";"EUR";"1.14";"1.14";"1.08";"1.09";"05/01/2018 17:35";"CET";"51965";"57169.275"
"EUROPCAR";"FR0012789949";"EUCAR";"Euronext Paris";"EUR";"10.37";"10.69";"10.33";"10.69";"05/01/2018 17:35";"CET";"389530";"4129891.70"
"EUROPLASMA";"FR0000044810";"ALEUP";"Euronext Growth Paris";"EUR";"0.1872";"0.1918";"0.1844";"0.1912";"05/01/2018 17:35";"CET";"646692";"121297.1974"
"EUROPLASMA BSB";"FR0012160661";"EURBT";"Euronext Growth Paris";"EUR";"0.01";"0.01";"0.01";"0.01";"02/01/2018 15:22";"CET";"200000";"2000.00"
"EUROPLASMA BSC";"FR0013294089";"EURBU";"Euronext Growth Paris";"EUR";"0.0088";"0.0088";"0.007";"0.008";"05/01/2018 16:12";"CET";"22862";"175.698"
"EUROPUBLIDIS";"BE0003842599";"ALPBS";"Euronext Growth Brussels";"EUR";"0.26";"0.26";"0.26";"0.26";"03/01/2018 11:58";"CET";"1897";"493.22"
"EUTELSAT COMMUNIC.";"FR0010221234";"ETL";"Euronext Paris";"EUR";"18.955";"19.115";"18.78";"18.81";"05/01/2018 17:46";"CET";"967358";"18266835.455"
"EVADIX";"BE0003840577";"ALEVA";"Euronext Growth Brussels";"EUR";"0.55";"0.58";"0.55";"0.58";"14/12/2017 16:30";"CET";"5750";"3222.50"
"EVERSET";"FR0000044745";"MLEVE";"Euronext Access Paris";"EUR";"0.05";"0.05";"0.05";"0.05";"27/12/2017 16:30";"CET";"10000";"500.00"
"EVOLIS";"FR0004166197";"ALTVO";"Euronext Growth Paris";"EUR";"45.00";"45.00";"45.00";"45.00";"05/01/2018 09:25";"CET";"26";"1170.00"
"EVS BROADC.EQUIPM.";"BE0003820371";"EVS";"Euronext Brussels";"EUR";"30.80";"30.80";"30.25";"30.40";"05/01/2018 17:35";"CET";"16684";"509759.30"
"EXACOMPTA CLAIREF.";"FR0000064164";"EXAC";"Euronext Paris";"EUR";"121.00";"124.00";"121.00";"124.00";"05/01/2018 17:13";"CET";"412";"50902.00"
"EXEL INDUSTRIES";"FR0004527638";"EXE";"Euronext Paris";"EUR";"122.00";"123.50";"122.00";"122.00";"05/01/2018 17:35";"CET";"2466";"302688.50"
"EXMAR";"BE0003808251";"EXM";"Euronext Brussels";"EUR";"6.50";"6.64";"6.49";"6.63";"05/01/2018 17:37";"CET";"112136";"735895.37"
"EXPLOS.PROD.CHI.PF";"FR0000037343";"EPCP";"Euronext Paris";"EUR";"900.20";"900.20";"900.20";"900.20";"05/01/2018 11:30";"CET";"9";"8101.80"
"EXPLOSIFS PROD.CHI";"FR0000039026";"EXPL";"Euronext Paris";"EUR";"930.00";"930.00";"930.00";"930.00";"05/01/2018 11:30";"CET";"3";"2790.00"
"F.RAMA";"PTFRV0AE0004";"RAM";"Euronext Lisbon";"EUR";"10.60";"10.60";"10.50";"10.60";"05/01/2018 22:29";"BST";"3731";"39546.60"
"FAGRON";"BE0003874915";"FAGR";"Euronext Brussels, Amsterdam";"EUR";"11.56";"11.65";"11.55";"11.60";"05/01/2018 17:35";"CET";"101460";"1178324.93"
"FASHION B AIR";"FR0004034593";"ALFBA";"Euronext Growth Paris";"EUR";"0.544";"0.546";"0.544";"0.546";"04/01/2018 16:43";"CET";"4000";"2176.58"
"FAURECIA";"FR0000121147";"EO";"Euronext Paris";"EUR";"66.50";"68.68";"66.42";"68.58";"05/01/2018 17:35";"CET";"608594";"41430837.872"
"FAUVET GIREL";"FR0000063034";"FAUV";"Euronext Paris";"EUR";"25.00";"25.00";"25.00";"25.00";"30/10/2017 16:30";"CET";"100";"2500.00"
"FAYENC.SARREGUEMI.";"FR0000031973";"FAYE";"Euronext Paris";"EUR";"54.50";"54.50";"54.50";"54.50";"02/01/2018 16:30";"CET";"2";"109.00"
"FD";"FR0012300424";"MLFDV";"Euronext Access Paris";"EUR";"3.20";"3.20";"3.20";"3.20";"02/10/2017 16:30";"CET";"110";"352.00"
"FENALU";"PTFEN0AP0006";"FEN";"Euronext Access Lisbon";"EUR";"0.01";"0.01";"0.01";"0.01";"02/08/2017 20:31";"BST";"12500";"125.00"
"FERM.CAS.MUN.CANNE";"FR0000062101";"FCMC";"Euronext Paris";"EUR";"1600.00";"1600.00";"1600.00";"1600.00";"03/01/2018 16:30";"CET";"1";"1600.00"
"FERMENTALG";"FR0011271600";"FALG";"Euronext Paris";"EUR";"3.095";"3.10";"3.00";"3.07";"05/01/2018 17:35";"CET";"93731";"286342.86"
"FFP";"FR0000064784";"FFP";"Euronext Paris";"EUR";"101.00";"102.60";"100.60";"101.60";"05/01/2018 17:35";"CET";"7549";"766235.60"
"FIDUCIAL OFF.SOL.";"FR0000061418";"SACI";"Euronext Paris";"EUR";"29.60";"29.60";"29.60";"29.60";"05/01/2018 11:30";"CET";"1";"29.60"
"FIDUCIAL REAL EST.";"FR0000060535";"ORIA";"Euronext Paris";"EUR";"184.00";"185.00";"184.00";"185.00";"05/01/2018 16:30";"CET";"32";"5899.00"
"FIGEAC AERO";"FR0011665280";"FGA";"Euronext Paris";"EUR";"18.62";"18.70";"18.30";"18.64";"05/01/2018 17:35";"CET";"31603";"583987.92"
"FILAE";"FR0010221069";"ALFIL";"Euronext Growth Paris";"EUR";"7.00";"7.00";"7.00";"7.00";"05/01/2018 16:30";"CET";"709";"4963.00"
"FIN.ETANG BERRE";"FR0000062341";"BERR";"Euronext Paris";"EUR";"7.10";"7.10";"7.10";"7.10";"05/01/2018 16:30";"CET";"240";"1704.00"
"FIN.ETANG BERRE PF";"FR0000062507";"EBPF";"Euronext Paris";"EUR";"144.00";"144.00";"144.00";"144.00";"27/12/2017 11:30";"CET";"20";"2880.00"
"FIN.OUEST AFRICAIN";"SN0000033192";"FOAF";"Euronext Paris";"EUR";"3.50";"3.50";"3.50";"3.50";"02/01/2018 16:30";"CET";"60";"210.00"
"FINANCIER CROI INV";"FR0010480517";"MLFCI";"Euronext Access Paris";"EUR";"0.18";"0.18";"0.18";"0.18";"24/11/2017 16:30";"CET";"77750";"13995.00"
"FINANCIERE MARJOS";"FR0000060824";"FINM";"Euronext Paris";"EUR";"0.20";"0.20";"0.20";"0.20";"04/01/2018 11:30";"CET";"2223";"444.60"
"FINANCIERE ODET";"FR0000062234";"ODET";"Euronext Paris";"EUR";"1020.00";"1045.00";"1015.00";"1045.00";"05/01/2018 17:35";"CET";"482";"499935.00"
"FINANCIERE SICOMAX";"FR0000066797";"MLSIC";"Euronext Access Paris";"EUR";"12.70";"12.70";"12.70";"12.70";"19/12/2017 16:30";"CET";"2";"25.40"
"FINATIS";"FR0000035123";"FNTS";"Euronext Paris";"EUR";"53.50";"53.50";"53.50";"53.50";"05/01/2018 11:30";"CET";"1";"53.50"
"FINAXO";"FR0010487272";"MLFXO";"Euronext Access Paris";"EUR";"4.18";"4.18";"4.18";"4.18";"02/01/2018 11:30";"CET";"50";"209.00"
"FIPP";"FR0000038184";"FIPP";"Euronext Paris";"EUR";"0.25";"0.276";"0.235";"0.275";"05/01/2018 17:35";"CET";"476056";"127600.983"
"FIRSTCAUTION";"CH0120879058";"MLFIR";"Euronext Access Paris";"EUR";"8.50";"8.50";"8.50";"8.50";"05/01/2018 16:59";"CET";"9000";"76500.00"
"FLEURY MICHON";"FR0000074759";"FLE";"Euronext Paris";"EUR";"47.20";"47.90";"47.10";"47.20";"05/01/2018 17:29";"CET";"329";"15662.50"
"FLEURYMBSAR22MAR20";"FR0011408731";"FLEBS";"Euronext Paris";"EUR";"11.50";"11.50";"11.50";"11.50";"07/08/2017 09:00";"CET";"500";"5750.00"
"FLEXOS";"BE0003885051";"FLEX";"Euronext Access Brussels";"EUR";"3.18";"3.18";"3.18";"3.18";"05/01/2018 11:30";"CET";"710";"2257.80"
"FLORIDIENNE";"BE0003215143";"FLOB";"Euronext Brussels";"EUR";"185.00";"185.00";"185.00";"185.00";"05/01/2018 11:30";"CET";"5";"925.00"
"FLOW TRADERS";"NL0011279492";"FLOW";"Euronext Amsterdam";"EUR";"18.96";"18.98";"18.60";"18.80";"05/01/2018 17:35";"CET";"289392";"5434693.87"
"FLUXYS BELGIUM D";"BE0974265945";"FLUX";"Euronext Brussels";"EUR";"26.40";"26.50";"26.10";"26.50";"05/01/2018 17:35";"CET";"2497";"65861.20"
"FNAC DARTY";"FR0011476928";"FNAC";"Euronext Paris";"EUR";"104.00";"104.00";"102.30";"103.40";"05/01/2018 17:37";"CET";"25808";"2659975.80"
